ideophone	score	language	category	paper
hisohiso	0.965517241	Japanese	Sound	Collabra
sɔdzɔlɔɔ	0.95	Siwu	Shape	Language
bon	0.95	Japanese	Sound	Language
ton ton	0.95	Japanese	Sound	Language
pon	0.95	Japanese	Sound	Language
fuwafuwa	0.931034483	Japanese	Texture	Collabra
gokugoku	0.931034483	Japanese	Sound	Collabra
mushimushi	0.931034483	Japanese	Texture	Collabra
gbadara-gbadara 	0.9	Siwu	Motion	Language
reŋŋŋ	0.9	Semai	Sound	Language
pan pan	0.9	Japanese	Shape	Language
kpótókpótó	0.9	Ewe	Sound	Language
kirakira	0.896551724	Japanese	ColorVisual	Collabra
kibikibi	0.862068966	Japanese	Motion	Collabra
hetoheto	0.862068966	Japanese		Collabra
bukubuku	0.862068966	Japanese	Shape	Collabra
fuwafuwa	0.85	Japanese	Texture	Language
tagbaraa	0.85	Siwu	Shape	Language
hŭmurhŭmul	0.85	Korean	Texture	Language
tòlontòlontòlon 	0.85	Siwu	Sound	Language
don	0.85	Japanese	Sound	Language
kpa 	0.85	Siwu	Sound	Language
berabera	0.827586207	Japanese	Sound	Collabra
furafura	0.827586207	Japanese		Collabra
debudebu	0.827586207	Japanese	Shape	Collabra
gayagaya	0.827586207	Japanese	Sound	Collabra
chongalchongal	0.8	Korean	Sound	Language
dzɔvuu	0.8	Ewe	Shape	Language
gbiim	0.8	Siwu	Sound	Language
gblogblogblo 	0.8	Siwu	Sound	Language
blʔoo::k	0.8	Semai	ColorVisual	Language
wan wan	0.8	Japanese	Sound	Language
kkilkkil	0.8	Korean	Sound	Language
tugŭndugŭn	0.8	Korean	Motion	Language
bucbuc	0.8	Semai	Sound	Language
mullŏngmullŏng	0.8	Korean	Texture	Language
tyatya	0.8	Ewe	Motion	Language
ujauja	0.793103448	Japanese	ColorVisual	Collabra
korokoro	0.793103448	Japanese	Motion	Collabra
buruburu	0.793103448	Japanese	Motion	Collabra
yurayura	0.793103448	Japanese	Motion	Collabra
betabeta	0.75862069	Japanese	Texture	Collabra
chirachira	0.75862069	Japanese	ColorVisual	Collabra
sekaseka	0.75862069	Japanese	Motion	Collabra
hikuhiku	0.75862069	Japanese	Motion	Collabra
sa satto	0.75	Japanese	Motion	Language
kpìnàkpìnà	0.75	Siwu	ColorVisual	Language
kirakira	0.75	Japanese	ColorVisual	Language
deko boko	0.75	Japanese	Texture	Language
ult'ungbult'ung	0.75	Korean	Shape	Language
tchŏptchŏp	0.75	Korean	Sound	Language
gorogoro	0.75	Japanese	Motion	Language
pasapasa	0.75	Japanese	Texture	Language
p'ŏllŏkp'ŏllŏk	0.75	Korean	Motion	Language
k'ongk'ong	0.75	Korean	Motion	Language
k'ungk'ung	0.75	Korean	Sound	Language
ppollok	0.75	Korean	Shape	Language
gãã	0.75	Siwu	ColorVisual	Language
choki choki	0.75	Japanese	Sound	Language
ssingssing	0.75	Korean	Motion	Language
falefale	0.75	Ewe	Shape	Language
ɟreeŋ	0.75	Semai	ColorVisual	Language
tchugŭltchugŭl	0.75	Korean	Shape	Language
boroboro	0.724137931	Japanese		Collabra
hokahoka	0.724137931	Japanese		Collabra
kebakeba	0.724137931	Japanese		Collabra
kechikechi	0.724137931	Japanese		Collabra
bachabacha	0.7	Japanese	Sound	Language
gbììm 	0.7	Ewe	Sound	Language
kpa 	0.7	Ewe	Sound	Language
gbóvúú	0.7	Ewe	Sound	Language
ka ka ka	0.7	Ewe	Motion	Language
glɔmɔɔ	0.7	Ewe	Shape	Language
wãtãwãtã	0.7	Ewe	ColorVisual	Language
mlámlá	0.7	Ewe	ColorVisual	Language
ŏngŏng	0.7	Korean	Sound	Language
kkŭnjŏkkkŭnjŏk	0.7	Korean	Texture	Language
sallangsallang	0.7	Korean	Motion	Language
slʔẽẽk	0.7	Semai	ColorVisual	Language
grahɒɒc	0.7	Semai	Texture	Language
ɟrpɒɒs	0.7	Semai	Shape	Language
ɖɛkpɛrɛɛ 	0.7	Siwu	Texture	Language
miɔmiɔ	0.7	Siwu	Shape	Language
gelegele	0.7	Siwu	ColorVisual	Language
kyutto	0.7	Japanese	Motion	Language
sura-to	0.7	Japanese	Shape	Language
zarazara	0.7	Japanese	Texture	Language
chikuchiku	0.689655172	Japanese		Collabra
kachikachi	0.689655172	Japanese		Collabra
dorodoro	0.655172414	Japanese		Collabra
nikoniko	0.655172414	Japanese		Collabra
butubutu 	0.65	Ewe	Sound	Language
bɔlɔbɔlɔ	0.65	Ewe	Texture	Language
gblɔdɔɔ	0.65	Ewe	Motion	Language
gelegele	0.65	Ewe	Motion	Language
goroo	0.65	Ewe	Shape	Language
fitaa/futaa	0.65	Ewe	ColorVisual	Language
tchallangtchallang	0.65	Korean	Sound	Language
chigŭlchigŭl	0.65	Korean	Sound	Language
ollokpollok	0.65	Korean	Texture	Language
ŭssŭgŭssŭk	0.65	Korean	Motion	Language
churŏngjurŏng	0.65	Korean	ColorVisual	Language
gjɛlgjolgjɛlgjol	0.65	Semai	Motion	Language
ŋɛrŋorŋɛrŋorŋɛrŋor	0.65	Semai	Motion	Language
bukbukbuk	0.65	Semai	Sound	Language
wòsòròò 	0.65	Siwu	Texture	Language
gɔgɔlɔ	0.65	Siwu	Shape	Language
yurayura	0.65	Japanese	Motion	Language
tsuyatsuya	0.620689655	Japanese		Collabra
ukiuki	0.620689655	Japanese		Collabra
giarigiari	0.6	Japanese	ColorVisual	Language
kachi kachi	0.6	Japanese	Texture	Language
mero-mero	0.6	Japanese	ColorVisual	Language
gblóó	0.6	Ewe	Sound	Language
hoo 	0.6	Ewe	Sound	Language
tolitoli	0.6	Ewe	Motion	Language
lɛgbɛɛ	0.6	Ewe	Shape	Language
prontoe	0.6	Ewe	Shape	Language
kpííí	0.6	Ewe	ColorVisual	Language
cholchol	0.6	Korean	Sound	Language
tchaengtchaeng	0.6	Korean	ColorVisual	Language
chuurchɛɛr	0.6	Semai	ColorVisual	Language
ɟhɨr	0.6	Semai	ColorVisual	Language
bracɨɨj	0.6	Semai	Motion	Language
rlajɨɨp	0.6	Semai	Motion	Language
hõõ(õõ)s	0.6	Semai	Sound	Language
slaɟɒɒr	0.6	Semai	Shape	Language
pu 	0.6	Siwu	Sound	Language
pimbilii	0.6	Siwu	Shape	Language
wɔ̃rãwɔ̃rã	0.6	Siwu	ColorVisual	Language
pyon pyon	0.6	Japanese	Motion	Language
tsun-tsun	0.6	Japanese	Shape	Language
gochagocha	0.586206897	Japanese		Collabra
yoroyoro	0.586206897	Japanese		Collabra
harahara	0.551724138	Japanese		Collabra
mojimoji	0.551724138	Japanese		Collabra
gitogito	0.55	Japanese	Texture	Language
cihɛ̃ʔ	0.55	Semai	Shape	Language
alloktallok	0.55	Korean	ColorVisual	Language
tchuktchuk	0.55	Korean	Motion	Language
ŏnggŭmŏnggŭm	0.55	Korean	Motion	Language
raŋjɒ̃ɒ̃t	0.55	Semai	Shape	Language
duldil	0.55	Semai	Motion	Language
wùrùfùù 	0.55	Siwu	Texture	Language
lɔbɔɔ	0.55	Ewe	Shape	Language
crɒɒ::m	0.55	Semai	Texture	Language
brihɔ̃c	0.55	Semai	Texture	Language
grigelrigel	0.55	Semai	Texture	Language
pumbuluu	0.55	Siwu	Shape	Language
gulugulu 	0.55	Siwu	Motion	Language
aka-aka	0.55	Japanese	ColorVisual	Language
sarasara	0.55	Japanese	Texture	Language
wudɔwudɔ	0.55	Ewe	Texture	Language
bɔyibɔyi	0.55	Ewe	Texture	Language
lúmɔlúmɔ	0.55	Ewe	Motion	Language
podŭlbodŭl	0.55	Korean	Texture	Language
kpɔkɔlɔ-kpɔkɔlɔ 	0.55	Siwu	Motion	Language
mokomoko	0.55	Japanese	Shape	Language
zukezuke	0.517241379	Japanese	Shape	Collabra
yibɔɔ	0.5	Ewe	ColorVisual	Language
pogŭlbogŭl	0.5	Korean	Sound	Language
t'oshilt'oshil	0.5	Korean	Shape	Language
bari bari	0.5	Japanese	Sound	Language
fuwari	0.5	Japanese	Motion	Language
hyorohyoro	0.5	Japanese	Shape	Language
tɨɨktɨɨktɨɨktɨɨk	0.5	Semai	Sound	Language
korrrr	0.5	Semai	Sound	Language
rŋʔɒɒŋ	0.5	Semai	Shape	Language
pocha-to	0.5	Japanese	Shape	Language
toɖoo	0.5	Ewe	Shape	Language
pŏlbŏl	0.5	Korean	ColorVisual	Language
fiɛfiɛ 	0.5	Siwu	Texture	Language
nurunuru	0.5	Japanese	Texture	Language
tsuru tsuru	0.5	Japanese	Texture	Language
nààà 	0.5	Siwu	Motion	Language
tsinitsini	0.5	Ewe	Texture	Language
kpo 	0.5	Ewe	Sound	Language
p'ongdangp'ongdang	0.5	Korean	Sound	Language
nebaneba	0.5	Japanese	Texture	Language
sĩĩĩ	0.5	Siwu	Shape	Language
gowagowa	0.482758621	Japanese	Texture	Collabra
hwarhwal	0.45	Korean	ColorVisual	Language
t'aengt'aeng	0.45	Korean	Shape	Language
songsong	0.45	Korean	Motion	Language
boo boo	0.45	Japanese	Sound	Language
dzekedzeke	0.45	Ewe	Texture	Language
hɛ̃ɛ̃ɛ̃	0.45	Ewe	ColorVisual	Language
kpraɖii	0.45	Ewe	Texture	Language
cããwcããw	0.45	Semai	Sound	Language
mikkŭlmikkŭl	0.45	Korean	Texture	Language
guu	0.45	Japanese	Shape	Language
mongshilmongshil	0.45	Korean	Shape	Language
ch'orongch'orong	0.45	Korean	ColorVisual	Language
ɟtoonɟtoonɟtoon	0.45	Semai	Motion	Language
pɔlɔpɔlɔ	0.45	Siwu	Texture	Language
munyɛ̃munyɛ̃	0.45	Siwu	ColorVisual	Language
ch'ingch'ing	0.45	Korean	Motion	Language
kodzokodzo	0.45	Ewe	Motion	Language
kplakplakpla	0.45	Ewe	Motion	Language
nyɛmɛrɛ-nyɛmɛrɛ 	0.45	Siwu	Motion	Language
morimori	0.448275862	Japanese	Shape	Collabra
hiyahiya	0.413793103	Japanese		Collabra
perapera	0.4	Japanese	Shape	Language
pikapika	0.4	Japanese	ColorVisual	Language
bulubulu	0.4	Ewe	Motion	Language
mumu	0.4	Ewe	ColorVisual	Language
yota yota	0.4	Japanese	Motion	Language
zaa zaa	0.4	Japanese	Sound	Language
maekkŭnmaekkŭn	0.4	Korean	Texture	Language
tunggŭltunggŭl	0.4	Korean	Shape	Language
pantchakpantchak	0.4	Korean	ColorVisual	Language
songgŭlsonggŭl	0.4	Korean	ColorVisual	Language
fwɛ̃fwɛ̃	0.4	Siwu	Texture	Language
minimini	0.4	Siwu	Shape	Language
pɛ̃ɛ̃	0.4	Siwu	ColorVisual	Language
zuratto	0.4	Japanese	Shape	Language
ƒlatsaƒlatsa	0.35	Ewe	Texture	Language
klitsaklitsa	0.35	Ewe	Texture	Language
cidũʔcidẽʔ	0.35	Semai	Motion	Language
ɟrweetɟrwɒɒt	0.35	Semai	Motion	Language
craliiŋ	0.35	Semai	Texture	Language
gradus	0.35	Semai	Texture	Language
baŋʔis	0.35	Semai	Shape	Language
tɛgɛlɛɛ	0.35	Siwu	Shape	Language
garigari	0.3	Japanese	Sound	Language
takataka	0.3	Ewe	Motion	Language
kpaɖikpaɖi	0.3	Ewe	Motion	Language
pasakpasak	0.3	Korean	Texture	Language
p'arŭtp'arŭt	0.3	Korean	ColorVisual	Language
snakɨɨr	0.3	Semai	Texture	Language
ɟlpuŋ	0.3	Semai	Shape	Language
giligili	0.3	Siwu	Shape	Language
bjuukbjɛɛk	0.25	Semai	ColorVisual	Language
plɛ̃splɒ̃s	0.25	Semai	Sound	Language
kkobulkkobul	0.2	Korean	Shape	Language
dzràdzràdzrà 	0.2	Siwu	Motion	Language
daradara	0.15	Japanese	Motion	Language
kkŏkkŭlkkŏkkŭl	0.15	Korean	Texture	Language
goow	0.15	Semai	Shape	Language
plɒ̃s	0.1	Semai	Sound	Language
fututu	0.1	Siwu	ColorVisual	Language
